coin_name,website,ip,org,city,country,region,loc,postal,timezone,ip_location_error,hostname,anycast
Ether-1,https://ether1.org,104.238.181.174,"AS20473 The Constant Company, LLC",San Rafael,US,California,"37.9735,-122.5311",94912,America/Los_Angeles,Error,104.238.181.174.vultr.com,
Tent,https://tent.app,104.21.48.27,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Smileycoin,https://smileyco.in,185.199.111.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-111-153.github.com,True
Smileycoin,https://smileyco.in,185.199.111.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-111-153.github.com,True
Smileycoin,https://smileyco.in,185.199.111.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-111-153.github.com,True
Smileycoin,https://smileyco.in,185.199.111.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-111-153.github.com,True
Smileycoin,https://smileyco.in,185.199.111.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-111-153.github.com,True
UFOCoin,http://ufobject.com,172.67.211.105,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Wownero,http://wownero.org,158.69.60.225,AS16276 OVH SAS,Toronto,CA,Ontario,"43.7001,-79.4163",M5N,America/Toronto,Error,225.ip-158-69-60.net,
Qitmeer,https://qitmeer.io,8.210.82.0,"AS45102 Alibaba (US) Technology Co., Ltd.",Kowloon,HK,Kowloon City,"22.3167,114.1833",,Asia/Hong_Kong,Error,,
Quasarcoin,http://quasarcoin.org,210.122.10.54,AS9848 Sejong Telecom,Seoul,KR,Seoul,"37.5660,126.9784",03186,Asia/Seoul,Error,,
NEXT.Chain,https://chain.next.exchange,172.67.207.126,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Ravencoin Classic,https://ravencoinclassic.io,104.21.56.45,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Pigeoncoin,https://pigeoncoin.org,108.61.197.186,"AS20473 The Constant Company, LLC",London,GB,England,"51.5085,-0.1257",EC1A,Europe/London,Error,108.61.197.186.vultr.com,
BitcoinZ,https://btcz.rocks,172.67.193.104,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
DimeCoin,https://www.dimecoinnetwork.com,192.124.249.6,AS30148 Sucuri,Menifee,US,California,"33.7283,-117.1464",92584,America/Los_Angeles,,cloudproxy10006.sucuri.net,True
FreeCash,https://freecash.org,159.138.109.64,AS136907 HUAWEI CLOUDS,Singapore,SG,Singapore,"1.2897,103.8501",048508,Asia/Singapore,Error,ecs-159-138-109-64.compute.hwclouds-dns.com,
